NAME,total_kids_11_and_under
"Adams County, Nebraska",4877
"Antelope County, Nebraska",1072
"Arthur County, Nebraska",105
"Banner County, Nebraska",86
"Blaine County, Nebraska",66
"Boone County, Nebraska",781
"Box Butte County, Nebraska",1612
"Boyd County, Nebraska",199
"Brown County, Nebraska",364
"Buffalo County, Nebraska",7702
"Burt County, Nebraska",961
"Butler County, Nebraska",1231
"Cass County, Nebraska",4077
"Cedar County, Nebraska",1401
"Chase County, Nebraska",646
"Cherry County, Nebraska",841
"Cheyenne County, Nebraska",1390
"Clay County, Nebraska",949
"Colfax County, Nebraska",2141
"Cuming County, Nebraska",1523
"Custer County, Nebraska",1508
"Dakota County, Nebraska",4049
"Dawes County, Nebraska",913
"Dawson County, Nebraska",4552
"Deuel County, Nebraska",226
"Dixon County, Nebraska",905
"Dodge County, Nebraska",6036
"Douglas County, Nebraska",99445
"Dundy County, Nebraska",258
"Fillmore County, Nebraska",731
"Franklin County, Nebraska",415
"Frontier County, Nebraska",383
"Furnas County, Nebraska",651
"Gage County, Nebraska",2934
"Garden County, Nebraska",123
"Garfield County, Nebraska",260
"Gosper County, Nebraska",231
"Grant County, Nebraska",101
"Greeley County, Nebraska",356
"Hall County, Nebraska",10738
"Hamilton County, Nebraska",1499
"Harlan County, Nebraska",462
"Hayes County, Nebraska",132
"Hitchcock County, Nebraska",382
"Holt County, Nebraska",1611
"Hooker County, Nebraska",46
"Howard County, Nebraska",1027
"Jefferson County, Nebraska",1115
"Johnson County, Nebraska",581
"Kearney County, Nebraska",1047
"Keith County, Nebraska",1171
"Keya Paha County, Nebraska",122
"Kimball County, Nebraska",469
"Knox County, Nebraska",1247
"Lancaster County, Nebraska",47501
"Lincoln County, Nebraska",4794
"Logan County, Nebraska",123
"Loup County, Nebraska",62
"Madison County, Nebraska",6156
"McPherson County, Nebraska",26
"Merrick County, Nebraska",1154
"Morrill County, Nebraska",679
"Nance County, Nebraska",524
"Nemaha County, Nebraska",892
"Nuckolls County, Nebraska",468
"Otoe County, Nebraska",2299
"Pawnee County, Nebraska",400
"Perkins County, Nebraska",481
"Phelps County, Nebraska",1539
"Pierce County, Nebraska",1261
"Platte County, Nebraska",5945
"Polk County, Nebraska",638
"Red Willow County, Nebraska",1458
"Richardson County, Nebraska",1007
"Rock County, Nebraska",189
"Saline County, Nebraska",2459
"Sarpy County, Nebraska",34141
"Saunders County, Nebraska",3753
"Scotts Bluff County, Nebraska",5950
"Seward County, Nebraska",2624
"Sheridan County, Nebraska",725
"Sherman County, Nebraska",338
"Sioux County, Nebraska",183
"Stanton County, Nebraska",922
"Thayer County, Nebraska",709
"Thomas County, Nebraska",83
"Thurston County, Nebraska",1505
"Valley County, Nebraska",602
"Washington County, Nebraska",3288
"Wayne County, Nebraska",1100
"Webster County, Nebraska",477
"Wheeler County, Nebraska",114
"York County, Nebraska",2235
